row_names	Blank13	S0009.0001	S0009.0002	S0009.0003	S0009.0004	S0009.0005	S0009.0006	S0009.0007	S0009.0008	S0009.0009	S0009.0010	S0009.0011	S0009.0012	S0009.0013	S0009.0014	S0009.0015	S0009.0016	S0009.0017	S0009.0018	S0009.0019	S0009.0020	S0009.0021	S0009.0022	S0009.0023	S0009.0024	S0009.0025	S0009.0026	S0009.0027	S0009.0028	S0009.0029	S0009.0030	S0009.0031	S0009.0032	S0009.0033	S0009.0034	S0009.0035	S0009.0036	S0009.0037	S0009.0038	S0009.0039	S0009.0041	S0009.0042	S0009.0043	S0009.0044	S0009.0045	S0009.0046	S0009.0047	S0009.0048	S0009.0049	S0009.0050	S0009.0051	S0009.0052	S0009.0053	S0009.0054	S0009.0055	S0009.0056	S0009.0057	S0009.0058	S0009.0059	S0009.0060	S0009.0061	S0009.0062	S0009.0063	S0009.0064	S0009.0065	S0009.0066	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Accession
ASV1	0	2748	2501	3285	2400	2226	4780	727	2526	3387	3682	4245	2133	3887	2977	2900	1070	2669	2595	1829	5201	3539	2194	2086	2578	1120	1826	2266	1391	1047	1707	1473	1511	635	2197	881	998	1783	1560	2040	1057	1336	690	1610	1377	1596	839	1637	2080	1874	1361	1618	2115	2011	1691	1864	963	1055	610	1447	846	1065	1247	2314	402	3371	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	NA
ASV2	0	5691	5035	2990	4437	2082	0	1435	4951	3510	530	2518	0	2056	3816	0	0	735	2929	0	322	0	0	427	0	2002	3392	0	2323	1552	4001	2214	934	223	0	721	475	988	2539	1286	1444	1637	1268	2916	997	1183	1978	2450	976	1330	0	1541	2195	591	1312	73	1488	118	276	288	1001	408	816	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_NK3B31_group	uncultured_rumen_bacterium	AB612749.1.1493
ASV3	0	768	2242	2355	920	2810	1695	70	1302	2820	344	1169	1494	83	2243	1030	1268	1771	1946	2853	2505	998	1660	2095	6525	0	1448	76	2278	100	3029	3347	591	1846	868	3931	579	1091	861	1331	843	1573	192	1053	1007	767	1807	272	310	721	106	998	117	55	94	418	3198	510	210	3013	1688	692	525	187	30	388	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	uncultured_bacterium	FJ904265.1.1472
ASV4	0	804	1756	1057	780	1045	1364	97	252	447	1452	1805	2197	1267	1411	3473	539	616	1140	850	1371	2422	1555	358	0	380	702	144	933	431	555	500	225	309	682	754	819	678	812	600	1221	396	72	217	1013	437	979	484	956	826	646	1219	207	1138	591	638	374	985	366	784	553	433	488	1406	55	407	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured_bacterium	FJ978501.1.1405
ASV5	0	115	0	395	296	664	1284	37	869	2175	846	797	266	278	300	3496	453	689	1063	1228	3250	1990	834	1021	2428	81	310	87	425	217	535	1133	558	1287	615	317	287	539	646	849	253	451	27	143	694	124	292	237	213	276	381	413	86	468	309	1015	213	282	127	622	161	386	252	600	33	210	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_goldsteinii	GQ456205.1.1428
ASV6	0	0	0	0	1345	0	0	57	784	185	2329	2622	0	3192	4131	0	0	160	269	0	742	0	0	0	0	1000	825	0	0	193	284	2630	825	296	0	1095	654	230	1152	1861	1195	538	260	778	1112	428	0	979	625	209	75	1009	697	229	584	278	1042	501	223	1158	1026	514	393	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured_Bacteroidaceae_bacterium	AB218334.1.1446
ASV7	0	0	0	0	631	0	2550	0	0	1007	567	0	4318	0	0	1931	0	0	260	2479	1230	0	2077	951	960	0	0	0	757	0	1092	1623	637	0	1446	963	843	834	578	806	0	0	356	0	0	0	0	718	0	0	583	0	0	210	0	0	555	0	0	927	0	0	0	1970	0	1907	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salanitronis_DSM_18170	CP002530.3614908.3616425
ASV8	0	388	453	753	0	921	0	0	0	0	437	0	3274	0	896	0	1432	0	0	1278	1444	526	625	1073	1092	0	0	516	1217	577	0	0	963	297	965	826	583	598	0	614	0	0	0	0	0	0	0	1219	0	527	540	438	0	0	0	0	601	453	0	1093	611	0	618	0	0	1557	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salanitronis_DSM_18170	CP002530.3614908.3616425
ASV9	0	2060	1067	67	951	470	481	102	54	149	1309	0	322	0	0	0	0	1261	486	1431	931	0	0	2526	2362	1062	486	0	0	1913	23	0	0	129	0	480	1935	635	210	0	10	0	32	488	0	919	1157	0	381	509	29	192	0	0	95	0	0	0	0	0	0	0	0	0	0	103	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	uncultured_Lactobacillaceae_bacterium	FJ975811.1.1357
ASV10	0	131	98	582	238	234	508	291	411	129	108	217	45	1394	395	146	568	766	245	874	630	1501	82	395	861	667	120	89	318	91	267	199	241	43	566	117	1058	571	120	963	57	182	133	868	241	320	98	295	135	48	20	275	545	266	37	3007	212	132	1244	178	235	873	0	664	15	225	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_murinus	EF187260.1.1518
